department,region,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,kpis_met_>80%,awards_won?,avg_training_score,is_promoted,education_bachelors,education_below_secondary,education_masters_&_above
2,2,0,1,1,24,1.0,1,0,0,73,1,0,1,0
1,2,0,3,1,39,1.0,10,1,0,52,1,1,1,1
1,2,1,3,1,24,3.0,2,1,1,81,1,1,1,0
1,2,1,3,1,47,4.0,16,1,0,48,1,1,1,0
2,22,1,3,1,32,4.0,4,1,1,57,1,1,1,0
1,14,1,3,1,33,4.0,3,1,0,94,1,1,1,1
3,32,0,1,4,32,5.0,8,0,0,93,1,1,1,0
6,34,1,3,1,29,5.0,4,0,0,84,1,1,1,0
3,2,1,1,1,26,1.0,1,1,1,81,1,1,1,0
2,4,1,3,2,29,5.0,5,1,0,63,1,1,1,0
4,25,1,3,1,30,3.0,6,1,0,84,1,1,1,0
1,7,1,3,1,35,5.0,3,1,1,45,1,1,1,0
3,7,1,1,1,30,1.0,1,1,0,78,1,1,1,0
4,22,0,1,2,27,3.0,3,1,0,85,1,1,1,0
4,31,1,3,2,28,3.0,2,1,0,86,1,1,1,0
2,4,0,1,1,37,5.0,8,1,1,99,1,1,1,1
7,28,1,3,1,33,3.0,3,1,1,60,1,1,1,1
3,7,0,3,1,39,4.0,4,1,0,78,1,1,1,1
8,26,1,3,1,28,2.0,2,1,0,52,1,1,1,0
2,7,1,1,1,33,3.0,4,0,0,74,1,1,1,0
2,32,1,3,1,36,4.0,3,1,0,74,1,1,1,0
4,22,1,2,1,32,3.0,3,1,1,78,1,1,1,0
3,26,1,3,1,35,1.0,6,1,0,77,1,1,1,0
4,22,1,3,1,34,3.0,3,0,0,89,1,1,1,0
1,4,0,3,1,30,3.0,8,1,0,50,1,1,1,0
6,20,0,3,1,33,2.0,3,1,0,69,1,1,1,0
6,7,0,3,1,29,5.0,4,1,0,72,1,1,1,0
1,7,1,1,1,42,5.0,11,1,0,54,1,1,1,1
6,17,0,3,1,36,3.0,4,0,0,81,1,1,1,1
1,28,1,3,1,25,4.0,3,1,0,64,1,1,1,0
2,15,0,3,2,42,5.0,5,1,0,61,1,1,1,0
3,17,1,3,1,36,4.0,5,1,0,78,1,1,1,0
3,4,1,3,1,30,5.0,3,1,0,77,1,1,1,0
1,28,1,3,1,36,3.0,2,1,0,45,1,1,1,1
1,3,1,3,1,32,5.0,5,1,0,47,1,1,1,0
2,4,0,1,1,39,5.0,9,1,0,61,1,1,1,0
4,22,1,3,1,28,1.0,1,1,0,86,1,1,1,0
1,22,1,2,1,29,3.0,2,1,0,55,1,1,1,0
2,22,1,1,1,27,5.0,4,0,0,68,1,1,1,0
3,7,0,3,1,41,4.0,8,1,1,93,1,1,1,1
4,7,1,1,2,29,5.0,2,0,0,86,1,1,1,0
1,15,1,3,1,40,3.0,12,1,0,47,1,1,1,0
2,4,1,1,1,44,3.0,15,1,0,61,1,1,1,1
3,5,0,1,1,24,1.0,1,0,0,81,1,1,1,0
3,28,1,3,1,28,5.0,4,0,1,91,1,1,1,0
2,22,0,1,3,36,2.0,4,0,0,78,1,1,1,0
5,4,1,3,1,42,4.0,8,1,0,85,1,1,1,1
2,15,1,1,2,44,5.0,11,1,0,92,1,1,1,1
4,22,0,1,1,29,4.0,4,1,0,92,1,1,1,0
6,22,1,1,1,26,1.0,1,0,0,80,1,1,1,0
1,13,0,1,1,40,3.0,5,1,0,50,1,1,1,1
3,17,0,3,1,32,5.0,4,1,0,95,1,1,1,0
8,22,1,1,1,28,1.0,1,1,0,51,1,1,1,0
6,13,0,3,1,36,3.0,6,1,0,67,1,1,1,1
1,23,1,1,1,35,3.0,9,1,0,45,1,1,1,0
2,13,1,3,1,34,3.0,3,0,0,68,1,1,1,0
4,15,1,3,1,37,5.0,11,0,1,86,1,1,1,0
6,16,0,3,1,37,5.0,5,0,0,77,1,1,1,0
4,5,1,1,1,37,2.0,7,0,1,81,1,1,1,1
3,22,1,2,3,36,3.0,7,1,0,80,1,1,1,1
6,22,0,3,1,34,5.0,2,1,0,65,1,1,1,0
3,13,1,1,1,38,5.0,4,0,0,93,1,1,1,0
1,6,1,3,1,32,3.0,6,1,0,47,1,1,1,0
4,28,1,3,1,34,3.0,7,1,0,80,1,1,1,0
5,26,1,1,2,40,3.0,2,1,1,84,1,1,1,0
1,7,1,3,1,32,3.0,4,0,0,65,1,1,1,0
6,7,1,3,1,36,3.0,4,1,0,72,1,1,1,0
1,13,1,3,1,54,5.0,11,1,0,45,1,1,1,0
3,22,0,3,1,26,5.0,3,1,0,80,1,1,1,0
6,17,0,3,1,26,5.0,4,0,0,86,1,1,1,0
1,3,1,3,1,34,4.0,9,1,0,46,1,1,1,0
3,2,1,3,3,23,1.0,1,0,0,82,1,0,1,0
3,2,1,3,1,30,5.0,6,0,1,86,1,1,1,0
1,2,1,3,1,36,4.0,8,1,0,51,1,1,1,0
3,27,0,1,1,28,4.0,2,1,0,78,1,1,1,0
1,21,1,3,1,48,3.0,4,1,0,51,1,1,1,0
2,7,0,1,1,32,4.0,5,1,0,99,1,1,1,0
3,2,0,1,1,24,4.0,2,1,0,84,1,1,1,0
6,13,0,3,1,34,5.0,7,1,0,74,1,1,1,1
8,26,0,3,1,31,3.0,5,1,0,46,1,1,1,0
3,22,1,3,1,37,4.0,6,1,0,82,1,1,1,1
1,17,1,3,1,31,4.0,3,0,0,60,1,1,1,0
7,25,1,3,1,32,5.0,6,1,0,57,1,1,1,0
1,28,1,3,1,34,5.0,7,1,0,53,1,1,1,0
1,26,1,3,1,41,5.0,14,1,0,45,1,1,1,1
1,2,0,3,1,35,4.0,7,1,0,54,1,1,1,0
1,14,1,3,1,39,3.0,10,0,0,58,1,1,1,0
2,4,0,3,1,36,3.0,9,1,0,61,1,1,1,0
6,2,1,1,2,40,3.0,4,1,0,66,1,1,1,0
2,2,0,1,1,32,5.0,10,0,0,69,1,1,1,0
3,28,1,3,1,34,3.0,9,0,0,80,1,1,1,1
2,7,0,3,1,56,5.0,7,1,1,61,1,1,1,1
6,15,1,3,1,40,4.0,9,1,0,72,1,1,1,1
3,28,1,3,1,35,2.0,8,1,0,78,1,1,1,1
4,22,0,1,1,26,5.0,4,1,0,86,1,1,1,0
6,27,1,3,2,28,1.0,1,1,0,71,1,1,1,0
1,2,1,1,1,23,5.0,2,0,0,64,1,1,1,0
5,22,1,3,1,29,5.0,2,1,0,83,1,1,1,0
2,11,1,3,1,41,3.0,5,1,0,63,1,1,1,1
6,23,0,1,1,34,5.0,7,0,0,86,1,1,1,1
1,3,1,1,1,37,4.0,10,1,0,92,1,1,1,1
1,28,1,3,1,43,3.0,11,1,0,55,1,1,1,1
1,2,0,3,2,37,4.0,9,1,0,51,1,1,1,0
4,22,1,3,1,28,5.0,8,0,0,87,1,1,1,0
6,2,0,1,1,38,5.0,7,1,0,72,1,1,1,1
5,2,1,1,1,41,3.0,13,1,0,85,1,1,1,1
6,8,0,3,1,32,2.0,9,0,0,88,1,1,1,1
6,15,0,3,1,30,3.0,5,0,0,85,1,1,1,0
6,16,0,3,1,35,3.0,9,1,0,70,1,1,1,1
8,4,0,3,1,33,5.0,3,0,0,65,1,1,1,1
1,16,1,1,1,22,1.0,1,0,0,61,1,1,1,0
6,2,0,3,1,34,3.0,6,0,0,83,1,1,1,0
1,7,1,3,1,54,4.0,14,1,0,48,1,1,1,1
1,2,1,3,1,35,5.0,8,1,0,48,1,1,1,1
1,2,0,3,1,43,5.0,11,1,0,46,1,1,1,0
2,22,0,3,1,27,5.0,4,0,0,77,1,1,1,0
2,22,0,1,1,37,5.0,11,1,0,62,1,1,1,0
1,1,1,3,1,39,3.0,3,1,0,45,1,1,1,1
1,22,1,3,1,30,5.0,6,1,0,54,1,1,1,0
6,15,1,3,1,39,2.0,4,1,1,74,1,1,1,1
6,22,1,3,1,32,5.0,4,0,1,99,1,1,1,0
2,21,1,3,1,34,3.0,6,1,0,55,1,1,1,0
3,13,1,3,1,36,3.0,7,1,0,87,1,1,1,1
1,29,1,3,1,35,3.0,10,1,0,50,1,1,1,0
1,7,0,3,1,24,1.0,1,1,0,47,1,1,1,0
7,28,1,1,1,31,5.0,5,1,0,55,1,1,1,0
6,22,0,1,1,33,5.0,7,1,0,68,1,1,1,1
3,27,1,3,1,40,5.0,14,1,1,85,1,1,1,1
4,27,1,1,1,29,4.0,1,1,0,81,1,1,1,0
1,31,1,3,1,23,1.0,1,1,0,47,1,1,1,0
2,7,1,1,1,35,4.0,2,0,1,71,1,1,1,0
3,13,0,3,1,32,4.0,7,1,0,97,1,1,1,1
2,15,0,3,1,35,5.0,4,0,0,74,1,1,1,0
4,8,1,1,1,27,5.0,5,1,0,87,1,1,1,0
6,11,0,3,1,31,5.0,2,1,0,71,1,1,1,0
6,7,1,3,1,32,5.0,7,1,0,70,1,1,1,0
1,2,1,3,1,37,3.0,8,0,0,59,1,1,1,0
1,2,1,1,1,37,3.0,7,0,0,59,1,1,1,1
1,2,1,3,1,44,5.0,3,0,0,57,1,1,1,0
1,22,1,1,1,26,5.0,5,1,0,93,1,1,1,0
1,2,0,1,1,54,4.0,12,1,0,47,1,1,1,0
2,2,0,3,1,30,4.0,6,1,1,59,1,1,1,0
4,27,1,1,1,33,5.0,3,1,0,92,1,1,1,0
6,13,1,3,1,40,3.0,4,1,0,67,1,1,1,0
4,22,1,3,1,28,3.0,2,1,0,88,1,1,1,0
6,19,1,1,1,38,5.0,3,1,0,70,1,1,1,0
6,13,1,3,2,35,3.0,3,0,0,93,1,1,1,0
3,10,0,3,1,29,4.0,4,1,0,82,1,1,1,0
3,26,1,3,1,26,5.0,4,1,0,78,1,1,1,0
4,22,1,1,1,29,4.0,4,1,0,80,1,1,1,0
1,2,1,3,1,54,3.0,12,1,0,53,1,1,1,1
2,2,1,3,1,38,5.0,6,0,0,79,1,1,1,1
3,17,1,1,1,30,3.0,6,0,0,81,1,1,1,0
4,2,1,1,1,33,3.0,4,1,0,82,1,1,1,0
2,15,1,1,1,46,5.0,9,0,1,89,1,1,1,0
2,4,0,1,1,39,3.0,5,1,0,58,1,1,1,0
4,4,1,3,2,30,3.0,5,0,0,86,1,1,1,0
3,7,0,1,1,42,5.0,12,1,0,77,1,1,1,1
4,13,1,3,1,26,3.0,2,0,0,85,1,1,1,0
3,33,1,3,1,34,3.0,3,1,1,75,1,1,1,0
3,7,0,1,1,35,3.0,7,0,0,89,1,1,1,0
1,2,1,3,1,59,3.0,4,1,0,51,1,1,1,0
6,2,0,1,1,39,3.0,7,1,0,72,1,1,1,1
6,17,1,3,1,41,5.0,7,1,1,72,1,1,1,0
1,13,1,1,1,34,5.0,9,1,0,50,1,1,1,1
4,7,1,3,1,42,3.0,5,1,0,82,1,1,1,1
4,22,1,1,2,28,5.0,5,0,0,83,1,1,1,0
2,22,1,3,2,55,5.0,18,0,0,71,1,1,1,0
4,7,0,3,2,28,1.0,1,1,0,85,1,1,1,0
3,16,1,1,1,42,3.0,5,0,0,81,1,1,1,1
1,14,1,3,2,23,3.0,2,1,0,51,1,1,1,0
3,2,0,3,1,26,5.0,3,1,0,79,1,1,1,0
2,22,1,1,3,29,4.0,4,1,0,56,1,1,1,0
1,28,1,3,1,28,1.0,1,0,0,67,1,1,1,0
3,2,0,3,1,34,4.0,3,1,0,79,1,1,1,0
1,22,1,3,1,27,3.0,2,1,1,96,1,1,1,0
1,2,0,2,1,32,4.0,8,0,0,63,1,1,1,0
1,4,1,1,1,30,2.0,4,0,0,60,1,1,1,0
6,15,0,3,1,29,5.0,5,1,0,71,1,1,1,0
1,16,1,3,1,41,5.0,3,1,0,48,1,1,1,0
3,20,1,1,1,30,1.0,1,1,0,84,1,1,1,0
1,2,1,1,1,31,3.0,6,1,1,44,1,1,1,0
6,26,1,1,1,30,1.0,4,0,0,85,1,1,1,0
1,4,1,1,1,38,5.0,3,0,0,63,1,1,1,0
2,22,0,1,2,38,3.0,12,1,0,87,1,1,1,1
2,2,0,2,1,35,5.0,8,1,0,60,1,1,1,1
2,15,1,3,1,32,5.0,7,1,0,58,1,1,1,0
1,7,1,3,1,25,3.0,3,1,0,48,1,1,1,0
2,22,0,3,1,39,5.0,8,1,0,57,1,1,1,0
1,7,1,3,1,30,4.0,5,1,0,65,1,1,1,0
1,15,1,3,1,36,4.0,3,1,0,65,1,1,1,1
2,4,1,1,1,36,3.0,12,0,0,70,1,1,1,0
3,2,0,3,1,30,3.0,2,1,0,77,1,1,1,0
5,22,1,1,1,28,1.0,1,1,0,85,1,1,1,1
4,32,1,1,1,30,5.0,4,1,0,82,1,1,1,0
2,22,0,3,1,34,5.0,6,0,0,74,1,1,1,0
2,16,1,3,1,44,4.0,16,1,0,89,1,1,1,1
8,2,1,1,1,42,5.0,4,0,0,63,1,1,1,1
4,20,1,3,2,28,2.0,2,0,0,87,1,1,1,0
1,11,1,1,1,29,5.0,4,0,0,61,1,1,1,0
1,25,1,1,1,33,5.0,7,1,0,44,1,1,1,0
3,26,1,3,1,41,5.0,11,1,1,82,1,1,1,0
7,2,1,3,1,41,4.0,6,1,0,62,1,1,1,0
1,16,1,1,1,51,4.0,17,0,0,63,1,1,1,0
8,7,1,3,1,39,5.0,6,1,1,47,1,1,1,1
3,7,1,3,2,37,3.0,5,1,1,94,1,1,1,1
2,22,0,1,1,38,4.0,9,0,0,72,1,1,1,0
7,28,0,1,1,30,5.0,7,1,0,60,1,1,1,0
2,22,1,3,1,40,5.0,3,1,1,60,1,1,1,0
2,5,1,1,1,29,5.0,3,1,0,58,1,1,1,0
6,2,0,1,1,46,3.0,13,1,0,69,1,1,1,1
4,30,1,3,1,29,5.0,3,1,0,86,1,1,1,0
4,2,1,3,2,41,2.0,13,1,0,82,1,1,1,0
4,22,0,3,2,27,3.0,4,0,1,81,1,1,1,0
6,6,1,3,3,27,4.0,3,1,0,68,1,1,1,0
3,17,1,3,1,39,4.0,14,0,0,88,1,1,1,0
1,2,0,3,1,31,4.0,5,1,0,49,1,1,1,0
2,22,0,3,1,35,3.0,4,0,1,96,1,1,1,1
3,7,0,1,1,30,3.0,4,0,0,89,1,1,1,0
8,26,1,3,1,30,3.0,5,1,0,90,1,1,1,0
2,22,1,3,1,31,5.0,4,1,0,57,1,1,1,1
3,2,1,1,2,38,3.0,9,1,0,91,1,1,1,1
1,13,1,1,1,29,1.0,1,1,1,92,1,1,1,0
2,22,0,1,1,48,5.0,3,1,0,63,1,1,1,0
3,13,1,2,1,31,3.0,3,1,0,80,1,1,1,0
1,28,0,1,1,34,4.0,7,0,0,64,1,1,1,1
3,14,1,3,3,32,5.0,5,1,0,84,1,1,1,0
6,7,0,1,1,32,5.0,7,1,0,73,1,1,1,0
1,2,1,1,1,26,1.0,1,1,1,90,1,1,1,0
1,23,1,3,1,33,3.0,9,1,0,52,1,1,1,0
2,27,0,1,1,43,3.0,10,1,0,62,1,1,1,0
6,2,0,3,1,60,3.0,21,1,0,99,1,1,1,0
3,2,1,1,2,46,5.0,6,1,0,78,1,1,1,1
6,2,0,1,1,51,2.0,11,1,0,71,1,1,1,1
1,19,1,3,1,32,1.0,1,1,0,97,1,1,1,0
2,23,0,3,1,32,5.0,6,1,0,64,1,1,1,1
4,28,1,1,1,33,5.0,4,1,0,87,1,1,1,1
4,22,1,3,1,28,3.0,4,0,0,88,1,1,1,0
6,30,1,1,1,27,3.0,3,0,1,93,1,1,1,0
1,7,1,1,1,39,3.0,10,1,0,53,1,1,1,0
1,22,1,1,1,28,1.0,1,1,0,94,1,1,1,0
4,7,1,3,2,32,3.0,4,1,1,82,1,1,1,1
1,28,0,3,1,34,5.0,6,1,1,99,1,1,1,1
4,25,0,3,1,29,1.0,1,0,0,84,1,1,1,0
4,28,1,1,2,32,3.0,4,1,0,86,1,1,1,1
2,16,1,1,1,44,4.0,11,1,0,97,1,1,1,1
6,7,1,1,1,30,4.0,6,1,0,70,1,1,1,0
8,2,0,1,1,52,3.0,23,1,0,50,1,1,1,1
1,2,1,1,1,24,1.0,3,1,0,50,1,1,1,0
3,7,1,1,1,32,5.0,9,1,0,71,1,1,1,1
4,4,1,1,1,33,5.0,4,0,0,85,1,1,1,1
3,23,1,3,1,34,1.0,2,1,0,86,1,1,1,1
3,13,1,3,1,32,5.0,6,1,1,77,1,1,1,1
2,22,1,2,1,32,4.0,4,1,0,58,1,1,1,0
3,16,1,3,2,36,5.0,4,1,0,81,1,1,1,0
3,13,1,1,1,38,3.0,4,1,1,78,1,1,1,1
3,7,0,1,1,29,5.0,2,1,0,82,1,1,1,0
6,27,0,1,1,36,5.0,7,1,0,65,1,1,1,0
1,5,1,1,1,34,5.0,6,1,1,93,1,1,1,0
4,13,1,3,2,29,2.0,2,0,0,88,1,1,1,0
4,22,1,2,1,28,4.0,5,1,0,86,1,1,1,0
1,11,1,1,2,27,5.0,7,1,0,45,1,1,1,0
3,22,1,1,1,47,5.0,19,1,0,72,1,1,1,1
6,7,1,3,1,34,3.0,6,1,0,67,1,1,1,1
3,2,1,3,1,44,5.0,6,1,0,77,1,1,1,1
3,2,1,1,1,38,5.0,9,0,0,83,1,1,1,1
3,22,1,3,4,26,4.0,3,1,0,99,1,1,1,0
1,27,1,1,2,27,4.0,5,1,0,53,1,1,1,0
8,20,1,3,1,31,3.0,6,1,0,48,1,1,1,0
2,7,1,1,1,49,5.0,9,1,0,95,1,1,1,1
2,4,1,1,1,35,3.0,9,1,0,59,1,1,1,0
9,20,1,3,1,30,4.0,4,1,0,59,1,1,1,0
1,16,1,3,1,33,4.0,4,0,0,61,1,1,1,1
8,21,0,3,1,38,3.0,3,1,0,52,1,1,1,1
3,13,0,1,2,29,4.0,6,0,0,84,1,1,1,0
1,28,1,3,1,42,5.0,17,0,0,57,1,1,1,1
3,10,1,3,1,27,3.0,5,1,0,81,1,1,1,0
1,22,1,3,2,35,4.0,9,1,0,51,1,1,1,0
3,1,1,1,1,33,5.0,7,1,0,74,1,1,1,1
3,22,1,1,1,28,1.0,1,1,0,78,1,1,1,0
2,7,1,3,1,34,4.0,5,1,0,97,1,1,1,0
3,13,1,1,1,36,5.0,10,0,0,92,1,1,1,1
3,30,1,1,2,28,4.0,5,1,0,94,1,1,1,0
2,4,1,3,1,58,5.0,18,0,0,72,1,1,1,1
3,31,1,1,1,31,5.0,5,1,0,80,1,1,1,0
1,2,0,1,1,25,1.0,1,1,1,92,1,1,1,0
6,8,1,1,1,30,5.0,5,1,0,72,1,1,1,0
2,23,1,3,2,35,3.0,10,1,0,99,1,1,1,0
6,19,1,3,1,32,1.0,1,1,0,66,1,1,1,0
3,31,0,1,2,31,5.0,3,1,0,80,1,1,1,1
4,22,0,1,2,25,5.0,2,1,0,87,1,1,1,0
1,2,1,1,1,26,5.0,2,1,0,52,1,1,1,0
3,31,1,1,1,25,4.0,3,1,1,86,1,1,1,0
4,10,1,1,1,28,5.0,3,1,0,86,1,1,1,0
3,14,1,3,1,37,3.0,8,1,0,82,1,1,1,0
1,7,1,1,1,25,3.0,2,0,1,68,1,1,1,0
1,5,1,1,1,39,4.0,2,1,1,50,1,1,1,1
1,2,0,3,1,32,4.0,7,1,0,60,1,1,1,0
1,7,1,3,1,30,1.0,1,1,0,49,1,1,1,0
1,2,1,3,1,41,3.0,4,1,0,45,1,1,1,1
1,2,1,1,1,36,3.0,7,1,0,46,1,1,1,0
4,2,1,1,1,43,5.0,12,0,0,81,1,1,1,0
2,22,0,3,1,40,4.0,9,1,0,93,1,1,1,1
2,13,1,1,1,41,5.0,4,1,0,63,1,1,1,1
2,27,0,3,1,46,3.0,15,0,0,72,1,1,1,1
2,2,1,1,1,50,5.0,7,1,0,57,1,1,1,1
6,7,0,1,2,32,3.0,5,1,0,71,1,1,1,1
8,17,1,3,1,28,1.0,1,1,0,49,1,1,1,0
2,19,1,1,1,35,5.0,9,1,0,57,1,1,1,0
6,22,1,3,1,31,5.0,5,1,0,67,1,1,1,1
3,5,0,1,1,24,5.0,2,0,0,86,1,0,1,0
1,4,1,1,1,29,1.0,1,1,0,49,1,1,1,0
4,22,0,1,2,28,5.0,5,1,0,89,1,1,1,0
1,2,1,3,2,40,5.0,6,0,1,95,1,1,1,1
1,2,1,3,1,38,4.0,3,1,1,51,1,1,1,0
7,30,1,3,1,29,5.0,2,1,0,61,1,1,1,0
3,22,1,2,1,26,1.0,2,1,0,84,1,1,1,0
1,7,1,1,3,34,1.0,5,0,0,61,1,1,1,1
3,22,1,3,2,31,3.0,6,1,1,78,1,1,1,0
1,22,1,3,1,27,4.0,5,1,0,49,1,1,1,0
2,8,1,1,1,32,3.0,7,1,0,56,1,1,1,0
2,22,1,3,1,34,3.0,7,0,0,66,1,1,1,0
7,4,0,3,1,35,3.0,11,1,0,98,1,1,1,1
1,1,1,1,1,37,5.0,9,1,0,51,1,1,1,1
7,30,1,3,1,26,5.0,2,1,1,90,1,1,1,0
4,7,1,3,1,38,3.0,3,0,0,85,1,1,1,0
1,2,1,3,1,31,4.0,4,1,0,62,1,1,1,0
4,11,0,3,1,28,3.0,1,0,1,82,1,1,1,0
6,17,0,1,1,36,3.0,4,0,1,77,1,1,1,0
1,22,1,1,1,21,1.0,1,1,0,52,1,1,1,0
8,22,0,2,1,29,3.0,4,1,0,49,1,1,1,0
1,28,1,3,1,35,2.0,3,1,0,46,1,1,1,1
2,13,1,3,1,30,5.0,3,1,0,91,1,1,1,0
3,26,1,3,1,25,1.0,1,0,0,97,1,0,1,0
6,15,0,1,1,48,5.0,9,1,0,72,1,1,1,1
2,7,0,1,1,34,5.0,4,1,0,96,1,1,1,1
7,2,1,3,2,33,5.0,5,0,0,68,1,1,1,0
1,7,1,3,1,27,4.0,3,1,0,52,1,1,1,0
1,13,1,1,1,32,4.0,4,1,0,51,1,1,1,1
4,28,1,1,2,34,3.0,3,0,0,82,1,1,1,1
7,2,1,3,1,32,1.0,4,1,0,65,1,1,1,0
9,2,1,3,1,30,5.0,1,1,0,56,1,1,1,0
4,25,1,3,2,28,5.0,3,0,0,88,1,1,1,0
1,1,1,1,1,33,3.0,7,0,0,59,1,1,1,1
3,20,1,1,1,28,4.0,4,0,1,90,1,1,1,0
2,22,0,3,3,32,3.0,4,1,0,59,1,1,1,1
1,1,0,1,1,33,5.0,5,0,0,60,1,1,1,1
2,13,0,1,2,35,5.0,2,1,0,56,1,1,1,1
1,2,1,3,1,43,4.0,13,0,0,62,1,1,1,1
4,22,1,3,2,28,5.0,2,1,0,79,1,1,1,0
1,27,1,3,1,35,3.0,3,0,0,58,1,1,1,0
3,2,0,3,1,48,5.0,10,1,0,80,1,1,1,0
9,2,1,1,1,60,5.0,12,1,0,63,1,1,1,1
1,2,1,3,1,26,5.0,4,0,1,58,1,1,1,0
1,7,1,3,1,38,5.0,7,1,0,48,1,1,1,1
7,20,1,1,1,33,5.0,5,0,1,97,1,1,1,0
2,2,1,1,1,40,5.0,11,1,0,60,1,1,1,0
1,4,1,1,1,32,5.0,7,1,0,52,1,1,1,1
4,13,1,3,1,44,5.0,7,0,0,81,1,1,1,1
1,28,1,1,1,29,3.0,6,1,0,52,1,1,1,0
1,7,1,3,1,44,3.0,6,1,0,51,1,1,1,0
1,2,1,1,2,35,3.0,7,0,1,62,1,1,1,0
8,2,1,1,1,35,4.0,10,1,0,49,1,1,1,0
1,4,1,1,1,48,3.0,5,0,0,63,1,1,1,1
3,23,0,3,1,42,3.0,12,1,0,79,1,1,1,1
3,2,1,1,1,37,5.0,6,1,0,81,1,1,1,0
4,11,1,3,3,29,3.0,4,1,0,92,1,1,1,0
1,19,0,3,1,32,3.0,6,0,0,59,1,1,1,0
2,15,1,1,3,35,3.0,12,0,0,76,1,1,1,0
4,22,1,3,1,31,5.0,3,1,0,83,1,1,1,0
1,15,1,1,1,39,3.0,6,0,1,65,1,1,1,0
3,20,0,3,1,30,5.0,4,1,0,82,1,1,1,0
1,23,1,1,1,40,5.0,5,1,1,96,1,1,1,1
6,7,1,3,1,36,5.0,9,1,0,72,1,1,1,1
1,2,1,1,1,50,5.0,10,1,0,54,1,1,1,1
7,30,1,3,1,28,5.0,5,0,0,77,1,1,1,0
